Statute,Applicable
16-9-121,yes
16-9-33,yes
16-9-31,yes
16-9-1(D),yes
16-9-1(B),yes
16-8-7,yes
16-8-2,yes
16-8-18,yes
16-8-14,yes
16-7-20,yes
16-7-1(c),yes
16-7-1(b)/16-7-1b,yes
16-13-30(j)/16-13-30(J),maybe
16-13-30(c)(1),maybe
16-13-30(b),maybe
16-13-30(a)/16-13-30(A),maybe
16-13-30,maybe
16-11-131(b),yes
JMS-F,
46-5-3,yes
44-2-43,yes
40-8-90(c),yes
40-4-21,yes
40-5-125,yes
52-7-7.5,yes
16-9-122,yes
16-9-36.1,yes
16-9-37,yes
7-1-0842,yes
16-9-4,yes
16-9-1,yes
16-9-1(c),yes
16-9-32,yes
16-9-34,yes
16-9-93(d),yes
16-9-39,yes
19-9-93A,yes
16-8-13(b),yes
16-8-14,yes
16-8-16,yes
16-8-20C,yes
16-8-22(d),yes
16-8-22(e)(2),yes
16-8-22(e)(3),yes
16-8-22(f),yes
16-8-24,yes
16-8-23,yes
16-8-3,yes
16-8-4,yes
16-8-5,yes
16-8-6,yes
16-8-8,yes
16-8-9,yes
16-9-126B,yes
16-7-2,yes
16-13-30(i)(1),yes
16-13-30(i)(2),yes
16-13-30(l)(2),maybe
16-13-32.3A,yes